customer_id,first_name,last_name,email,phone,city,state,zip_code,created_date,is_active
CUST_000058,John,Lopez,john.lopez57@mail.com,+12543292124,New York,NY,42411,2026-02-17,True
CUST_000059,Maria,Williams,maria.williams58@yahoo.com,+14707852874,San Jose,TX,70952,2026-01-19,True
CUST_000060,Michael,Martinez,michael.martinez59@mail.com,+13304182771,San Jose,NY,50888,2025-08-09,False
CUST_000061,Robert,Lopez,robert.lopez60@yahoo.com,+13858074978,Los Angeles,AZ,99687,2025-07-27,True
CUST_000062,Richard,Martinez,richard.martinez61@gmail.com,+17785387071,Los Angeles,TX,94874,2025-12-07,True
CUST_000063,Barbara,Miller,barbara.miller62@company.com,+13654708532,Chicago,TX,33086,2025-09-05,True
CUST_000064,Maria,Gonzalez,maria.gonzalez63@mail.com,+19695465397,Philadelphia,TX,21359,2026-01-08,False
CUST_000065,Emily,Gonzalez,emily.gonzalez64@company.com,+18531299098,Philadelphia,IL,73904,2026-02-11,True
CUST_000066,Richard,Jones,richard.jones65@outlook.com,+16868185526,Dallas,NY,77715,2026-02-22,True
CUST_000067,Emily,Lopez,emily.lopez66@company.com,+19818764937,San Diego,CA,68743,2026-05-22,True
CUST_000068,David,Brown,david.brown67@company.com,+15497797046,San Diego,TX,79588,2025-12-05,False
CUST_000069,Linda,Rodriguez,linda.rodriguez68@outlook.com,+17995645438,Phoenix,AZ,40217,2026-03-30,True
CUST_000070,Sarah,Johnson,sarah.johnson69@mail.com,+14343218933,Phoenix,CA,78765,2025-07-29,True
CUST_000071,Jane,Wilson,jane.wilson70@yahoo.com,+16394693939,Phoenix,NY,80010,2026-03-27,True
CUST_000072,John,Smith,john.smith71@mail.com,+16992299042,Los Angeles,NY,85243,2026-01-05,False
CUST_000073,Jessica,Davis,jessica.davis72@outlook.com,+14163588827,Los Angeles,CA,62521,2025-09-21,True
CUST_000074,Maria,Hernandez,maria.hernandez73@gmail.com,+14299305978,Los Angeles,TX,25525,2025-08-18,False
CUST_000075,Maria,Martinez,maria.martinez74@mail.com,+15764898381,San Diego,AZ,87139,2025-10-23,True
CUST_000076,Maria,Martinez,maria.martinez75@gmail.com,+13367404457,Phoenix,CA,30585,2026-01-28,True
CUST_000077,James,Johnson,james.johnson76@yahoo.com,+12625618699,Phoenix,NY,40340,2026-01-03,True
CUST_000078,Linda,Wilson,linda.wilson77@company.com,+13973395334,San Jose,TX,65723,2026-04-02,True
CUST_000079,William,Williams,william.williams78@outlook.com,+14191613718,Phoenix,CA,84607,2026-01-03,False
CUST_000080,Jane,Davis,jane.davis79@outlook.com,+18446129847,San Diego,CA,20543,2025-07-28,True
CUST_000081,Thomas,Miller,thomas.miller80@outlook.com,+16131934750,San Jose,CA,12719,2026-01-13,True
CUST_000082,Richard,Gonzalez,richard.gonzalez81@yahoo.com,+19767678245,Phoenix,IL,86720,2025-10-19,False
CUST_000083,Jane,Davis,jane.davis82@outlook.com,+18524282713,Chicago,PA,63955,2025-09-19,True
CUST_000084,William,Miller,william.miller83@mail.com,+12681906153,Phoenix,PA,25194,2025-11-05,True
CUST_000085,William,Wilson,william.wilson84@mail.com,+19621554073,Dallas,PA,91609,2025-09-17,False
CUST_000086,Richard,Smith,richard.smith85@yahoo.com,+16802345719,San Diego,CA,25915,2026-05-16,True
CUST_000087,Linda,Williams,linda.williams86@outlook.com,+12805172527,Houston,CA,70482,2026-03-31,True
CUST_000088,Jessica,Anderson,jessica.anderson87@outlook.com,+16639548905,San Diego,TX,69871,2025-08-21,True
CUST_000089,Robert,Brown,robert.brown88@mail.com,+14183827798,Philadelphia,TX,45018,2026-05-29,True
CUST_000090,Linda,Jones,linda.jones89@mail.com,+19295579824,San Diego,PA,53573,2025-08-21,False
CUST_000091,Jessica,Anderson,jessica.anderson90@outlook.com,+15993447274,Houston,TX,15720,2025-12-19,False
CUST_000092,Linda,Anderson,linda.anderson91@company.com,+18949113492,San Diego,NY,26547,2025-09-15,True
CUST_000093,Barbara,Johnson,barbara.johnson92@company.com,+13775671251,Chicago,TX,95823,2026-03-12,True
CUST_000094,Jessica,Gonzalez,jessica.gonzalez93@outlook.com,+17898097512,Los Angeles,PA,98389,2025-08-30,False
CUST_000095,Sarah,Hernandez,sarah.hernandez94@company.com,+12891704846,Phoenix,TX,21846,2025-10-20,True
CUST_000096,Richard,Hernandez,richard.hernandez95@gmail.com,+19318105906,New York,NY,52516,2026-05-02,True
CUST_000097,Sarah,Garcia,sarah.garcia96@company.com,+14416437751,San Jose,IL,32280,2026-03-02,True
CUST_000098,Maria,Wilson,maria.wilson97@company.com,+15736973344,Houston,CA,93611,2026-01-20,False
CUST_000099,David,Hernandez,david.hernandez98@gmail.com,+19467939955,Chicago,CA,67898,2025-12-05,True
CUST_000100,William,Miller,william.miller99@outlook.com,+19483037302,San Diego,CA,41091,2025-11-16,True
